瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),10盒 弥促 碍荐樊(mm),1矫埃 弥促碍荐樊(mm),老碍荐樊(mm),弥措 鉴埃 浅加(m/s),弥措 浅加(m/s),乞闭 浅加(m/s),弥家 惑措嚼档(%),乞闭 惑措嚼档(%)
104,合碍釜,2013-08-12,29.5,24.5,33.6,,,,5.7,3.1,1.5,46,58.9
104,合碍釜,2013-08-13,29.2,24.8,33.9,,,,6.3,4.2,1.8,39,58.1
104,合碍釜,2013-08-14,29.1,24,34.2,,,,5.2,3.2,1.7,35,55.5
104,合碍釜,2013-08-15,29.5,24.4,36,,,,7.4,4.3,1.9,37,56.4
104,合碍釜,2013-08-16,30.4,25.9,35.1,,,,7.2,3.9,2.2,35,51
104,合碍釜,2013-08-17,30.7,26.9,34.5,,,,9.6,6.1,3.2,36,47.5
104,合碍釜,2013-08-18,29.9,25,33.6,,,,8.4,5.2,1.8,42,54.4
104,合碍釜,2013-08-19,26.7,22.9,31.9,.5,.5,.5,6.5,4,1.5,50,71.5
104,合碍釜,2013-08-20,25,21.4,28.6,1.7,2,2,7.1,3.6,1.7,55,76.1
104,合碍釜,2013-08-21,24,22.6,25.9,.1,.1,.3,4.4,2.9,1,76,86.6
104,合碍釜,2013-08-22,27.1,22.8,30.9,,,,4.9,2.6,1.1,65,77.6
104,合碍釜,2013-08-23,26.2,23.2,31.3,2.5,6.5,9,6.1,4.2,1.5,40,69
104,合碍釜,2013-08-24,25.6,21.9,29.7,,,,6,3.2,1.9,38,56.5
104,合碍釜,2013-08-25,24.3,19.4,28.1,,,,5.9,3,1.4,48,66.6
104,合碍釜,2013-08-26,24.1,19.8,29.1,.2,.3,.3,8.1,5.4,1.5,45,65.6
104,合碍釜,2013-08-27,24.4,20.3,28.2,,,,5.7,3.2,1.6,48,69.5
104,合碍釜,2013-08-28,24.7,21.3,28.4,,,,7.7,4.4,1.6,63,74.9
104,合碍釜,2013-08-29,23.6,21.2,29.5,5.5,10.5,12,9.1,5.2,1.9,56,81
104,合碍釜,2013-08-30,24.4,21.4,28.4,.1,.1,.1,8,4.6,1.8,70,83.4
104,合碍釜,2013-08-31,19.9,18.3,22.4,6,12.5,42,6.9,4.2,2.1,63,78.9
104,合碍釜,2013-09-01,20.8,16.5,24.6,0,0,0,5.8,2.9,1.2,55,71.8
104,合碍釜,2013-09-02,20.6,17.2,24.9,,,,5.9,3,1.3,55,77.1
104,合碍釜,2013-09-03,19.1,16.2,22.2,,,,5.7,3.3,1.8,59,72.6
104,合碍釜,2013-09-04,19,15.8,22.5,0,0,0,8,4.4,2.8,50,70.4
104,合碍釜,2013-09-05,19.1,14.9,23,,,,5.8,3.3,1.5,56,71.3
104,合碍釜,2013-09-06,19.3,16.7,22.9,.1,.2,.4,5.9,3.7,1.5,54,76.5
104,合碍釜,2013-09-07,19.3,15.8,24.3,0,0,0,4.8,2.6,1.1,54,78
104,合碍釜,2013-09-08,20.8,15.5,26.3,,,,5.5,3.2,1.5,35,65.5
104,合碍釜,2013-09-09,20.3,16.5,24,,,,4.7,2.7,1.1,66,80.6
104,合碍釜,2013-09-10,21.5,17.6,26.2,.5,1.5,4,4.8,2.9,1.1,56,76
104,合碍釜,2013-09-11,20.6,18.8,23.5,1,2.5,4,3.6,2.6,.9,75,89.6
104,合碍釜,2013-09-12,21.3,19.2,23.2,.1,.1,.1,4.3,2.2,.9,77,86.9
104,合碍釜,2013-09-13,21.8,20,28.9,4,14,23,7,4.5,1.3,57,88.3
104,合碍釜,2013-09-14,20.5,18.7,24.2,1,3,11,7.9,5.9,1.7,66,84.6
104,合碍釜,2013-09-15,21.9,17.6,27.4,,,,7,3.9,1.7,44,70.5
104,合碍釜,2013-09-16,18.9,14.9,23.5,,,,6,3.4,1.5,50,72.5
104,合碍釜,2013-09-17,22.7,16.2,28.5,,,,5.7,4.1,1.7,31,55.4
104,合碍釜,2013-09-18,21.5,18.1,25.8,,,,6.3,3.6,1.8,45,69
104,合碍釜,2013-09-19,20.3,16.2,24.2,,,,5.4,3.5,1.6,60,77.3
104,合碍釜,2013-09-20,24.2,18,30.2,,,,6.3,3.8,1.8,38,60.3
104,合碍釜,2013-09-21,22.4,18.9,27,.2,.3,.3,9.5,5.3,2.7,48,69.3
104,合碍釜,2013-09-22,18.8,16.1,21.5,1.5,4.5,10,5.2,3.5,1.3,64,83.4
104,合碍釜,2013-09-23,20,16.3,23.7,,,,5.5,3.2,1.3,63,76.6
104,合碍釜,2013-09-24,20.2,17,24.6,1,1.5,7.5,8.2,5,2,62,82.9
104,合碍釜,2013-09-25,16,13.6,17.9,1,3,10,6.2,3.6,1.9,70,83.3
104,合碍釜,2013-09-26,15.2,12,18.8,.5,.5,.5,6.9,3.7,1.4,62,79.6
104,合碍釜,2013-09-27,17.1,11.9,22.8,,,,6.4,4,2.3,26,55.5
104,合碍釜,2013-09-28,17.6,14.8,22.5,.1,.1,.1,5.4,3.6,1.4,42,57.6
104,合碍釜,2013-09-29,16,13.9,17.6,1.5,4,26.5,3.9,2.7,.9,65,90.6
104,合碍釜,2013-09-30,17.2,16.5,17.9,1.5,5.5,32,7.6,4.4,2.8,80,89
104,合碍釜,2013-10-01,18.3,15.6,21.7,,,,5,2.9,1.4,60,76.8
104,合碍釜,2013-10-02,19.7,15.6,25.1,.1,.2,.3,7.5,4.3,1.6,44,71.9
104,合碍釜,2013-10-03,16.5,12.3,22.1,1,2.5,3.5,5.4,3.3,1.9,27,56.5
104,合碍釜,2013-10-04,16.8,11,22.3,,,,5.5,3.4,2,29,57.8
104,合碍釜,2013-10-05,17.6,10.3,24.3,,,,5.6,3.3,1.5,37,63
104,合碍釜,2013-10-06,18.7,16.6,21.5,.5,2,5,7,3.3,1.9,74,83
104,合碍釜,2013-10-07,18,16.9,21.2,.5,1.5,5.5,6.4,3.4,1.7,80,91.3
104,合碍釜,2013-10-08,17.5,15.9,18.5,1.5,5.5,30.5,8.2,4.5,2.4,88,90.1
104,合碍釜,2013-10-09,17.2,14.6,21.5,.5,1,1,7.7,4.4,1.9,61,81.1
104,合碍釜,2013-10-10,20.8,14.9,25.8,,,,6.8,4,1.7,48,67.6
104,合碍釜,2013-10-11,19.8,14.9,23.3,.1,.2,.2,13.4,7.6,4.2,29,44.6
104,合碍釜,2013-10-12,17,12.1,22.6,,,,11.2,6.2,3.4,19,35
104,合碍釜,2013-10-13,16.2,12.2,21.8,,,,4.6,3.2,1.6,28,56.3
104,合碍釜,2013-10-14,17.2,11.3,24.1,,,,4.2,2.5,1.2,44,63.5
104,合碍釜,2013-10-15,11.3,8.1,15.8,8.5,22.5,51,8.6,5.5,3,54,78.5
104,合碍釜,2013-10-16,10,5.5,13.8,,,,9.1,4.5,2.6,39,58.3
104,合碍釜,2013-10-17,12,5.4,17.7,,,,5.7,3.3,1.7,35,60.8
104,合碍釜,2013-10-18,13.5,8,18.6,,,,5.1,3.4,1.6,36,63.6
104,合碍釜,2013-10-19,14.1,9.7,18.6,,,,4,3,1.3,48,70.6
104,合碍釜,2013-10-20,14.7,12.3,17.8,1,2.5,4.5,6.5,3.8,2.3,55,73.1
104,合碍釜,2013-10-21,13.1,11.2,16.3,.5,1.5,2,6.9,3.5,2.2,57,76.1
104,合碍釜,2013-10-22,13.8,10.6,17.8,,,,6.8,3.2,1.8,58,73.1
104,合碍釜,2013-10-23,13.8,11.1,17.2,.1,.1,.1,4.7,3,1.6,57,75.6
104,合碍釜,2013-10-24,14.1,9.4,19.5,,,,4.5,2.6,1.2,53,72.9
104,合碍釜,2013-10-25,10.7,5.3,15,,,,5.8,3,1.8,30,54
104,合碍釜,2013-10-26,10.9,6.8,16.1,.1,.1,.1,6.6,4.2,1.9,47,63.6
104,合碍釜,2013-10-27,12.6,7.9,18.5,,,,5.7,3.9,2.1,25,49
104,合碍釜,2013-10-28,12.5,8.4,18.5,,,,5.2,3.6,1.6,23,50.4
104,合碍釜,2013-10-29,14.6,8.8,21.5,,,,7.2,4.5,2,25,46.9
104,合碍釜,2013-10-30,11.6,7.8,15.8,,,,6.2,3.6,1.6,39,62.8
104,合碍釜,2013-10-31,12.6,7.3,18.8,,,,4.5,3.3,1.5,34,67.5
104,合碍釜,2013-11-01,13.4,9.6,18.1,,,,6.5,2.8,1.1,56,73.4
104,合碍釜,2013-11-02,14.4,10.5,19.6,,,0,6.7,4.4,1.6,50,73
104,合碍釜,2013-11-03,14,10.1,19.7,,,,6.7,4.1,2,35,57.8
104,合碍釜,2013-11-04,11.2,7.6,15.7,,,.5,7.5,4.2,2,47,68.8
104,合碍釜,2013-11-05,12.9,6.9,18.9,,,,7.5,4.4,2.3,31,50.8
104,合碍釜,2013-11-06,15.1,11.9,19.3,,,,10.1,6.8,2.7,33,49.3
104,合碍釜,2013-11-07,14,7.3,18.8,,,.5,14.3,9,3.6,12,33.1
104,合碍釜,2013-11-08,9.3,3.8,13.4,,,,6.6,4,1.9,22,56.9
104,合碍釜,2013-11-09,11.9,7.6,15.8,,,1.5,5.6,3.8,1.5,44,68.8
104,合碍釜,2013-11-10,9.2,5,14.2,,,1.5,8.6,4.8,2.2,23,52.5
104,合碍釜,2013-11-11,3.4,-.7,7.6,,,,7.4,4.5,2.5,22,38.6
104,合碍釜,2013-11-12,4.7,-1.3,10.6,,,,7.4,4.9,2.1,22,36.4
104,合碍釜,2013-11-13,6.1,0,10.7,,,,5.7,3,1.7,40,54.9
104,合碍釜,2013-11-14,8.3,3.3,12,,,,6.7,3.4,1.5,29,42
104,合碍釜,2013-11-15,10.3,4.7,15.1,,,,8.6,5.8,2.3,34,50.8
104,合碍釜,2013-11-16,9.3,4.3,14.2,,,,6,3.7,1.9,26,44.6
104,合碍釜,2013-11-17,7.6,2.3,11,,,0,14.2,8.8,4.3,25,36.8
104,合碍釜,2013-11-18,2.9,.7,5.9,,,,17.4,9.2,4.9,17,30.6
104,合碍釜,2013-11-19,2.3,-2.2,6.9,,,,9.1,6,2.6,27,39.4
104,合碍釜,2013-11-20,3.2,-1.9,7.8,,,,8.3,4.9,1.8,26,37.1
104,合碍釜,2013-11-21,4.4,-.6,10.3,,,,6.4,4.4,2.1,26,42
104,合碍釜,2013-11-22,6.6,.1,14,,,,7,4.3,2.3,14,38.3
104,合碍釜,2013-11-23,8.8,3.6,14.1,,,,7.6,4.7,2.2,25,40.3
104,合碍釜,2013-11-24,9.7,5,13.8,,,1.5,7.1,4.9,2.5,27,56.1
104,合碍釜,2013-11-25,7.4,1.6,12.1,,,3,18.4,11.4,5.2,26,49.4
104,合碍釜,2013-11-26,3.6,-.2,7.1,,,,12.4,7.2,4,14,36
104,合碍釜,2013-11-27,1.6,-3.1,6.5,,,.5,13.6,8,3,22,61
104,合碍釜,2013-11-28,-2.2,-6.8,2.2,,,,9.7,5.6,2.9,22,36.8
104,合碍釜,2013-11-29,1,-4.4,5.3,,,,9.1,5.9,3,17,30.1
104,合碍釜,2013-11-30,6.4,-.1,12.2,,,,9.4,5.8,2.1,23,43.9
104,合碍釜,2013-12-01,6.7,3.2,11.3,,,,6.7,5.1,1.9,36,50.1
104,合碍釜,2013-12-02,5.8,-.5,11.2,,,,7.3,4.9,2.4,30,43.8
104,合碍釜,2013-12-03,6.5,1.7,11.2,,,,6.3,3.8,1.8,28,46.4
104,合碍釜,2013-12-04,7.4,1.8,13.5,,,,4.6,2.9,1.8,29,45.6
104,合碍釜,2013-12-05,6.3,2.8,11.9,,,,7,4.7,2.1,33,51.1
104,合碍釜,2013-12-06,4.1,0,7.5,,,,8.8,6,2,27,40.1
104,合碍釜,2013-12-07,5.2,-.4,9.9,,,,7.9,5.5,2.3,28,46.6
104,合碍釜,2013-12-08,6.2,1.9,11,,,,5.1,3.2,1.7,32,53.5
104,合碍釜,2013-12-09,6.3,4.4,8.6,,,3.5,6.8,4.1,1.8,49,73.4
104,合碍釜,2013-12-10,2.1,-.3,4.5,,,13,8.8,5.6,2.3,50,76
104,合碍釜,2013-12-11,.2,-3.3,3.9,,,0,10.7,6.8,3.7,29,42.9
104,合碍釜,2013-12-12,-1.2,-5.9,3.3,,,2.5,11.5,6.8,2.6,27,50.6
104,合碍釜,2013-12-13,-4.7,-8.8,-.3,,,,18.8,8,3.6,20,31.5
104,合碍釜,2013-12-14,-1.9,-7.7,3.7,,,,13.5,8,2.4,23,37.1
104,合碍釜,2013-12-15,-1,-5.8,3.5,,,,6.4,4.3,2.1,18,33
104,合碍釜,2013-12-16,1.3,-3.9,6.4,,,,5.3,4,1.4,24,40.4
104,合碍釜,2013-12-17,1.9,-.6,2.7,,,2.5,5.6,3.5,2.2,50,81.1
104,合碍釜,2013-12-18,1.8,.8,3.5,,,5,6.4,4.1,2.4,74,86
104,合碍釜,2013-12-19,-.4,-5.8,3.2,,,0,12,7.5,3.3,30,49.4
104,合碍釜,2013-12-20,1.1,-7.5,6.3,,,1.9,11.3,6.3,3.5,25,54.6
104,合碍釜,2013-12-21,1.7,-2.4,5.1,,,.2,6.9,4.5,2.5,43,63.3
104,合碍釜,2013-12-22,-.1,-3,4.5,,,,5.2,3.2,1.8,47,64.3
104,合碍釜,2013-12-23,.1,-2.7,4.4,,,,4.7,3.4,1.7,35,51.3
104,合碍釜,2013-12-24,1.2,-2.4,5.2,,,,7.1,3.8,1.9,39,62.9
104,合碍釜,2013-12-25,2.9,-2.8,8,,,,4.7,3.2,1.5,20,47.3
104,合碍釜,2013-12-26,2,-2.6,6.5,,,,7.8,5,2.2,30,49.4
104,合碍釜,2013-12-27,-2.1,-6.1,1.3,,,0,7.4,5,2.4,33,43.5
104,合碍釜,2013-12-28,-3.9,-8.7,.8,,,,8.1,5.2,2.6,15,29.8
104,合碍釜,2013-12-29,-.9,-6.2,3.2,,,,11.4,5.6,2.7,17,35.1
104,合碍釜,2013-12-30,3.4,-1.3,7.6,,,,10,6.3,2.6,25,40.3
104,合碍釜,2013-12-31,4.5,-2.5,7.7,,,,13.1,7.5,3,24,39.5
104,合碍釜,2014-01-01,5.1,.3,7.8,,,0,13.3,7.2,3.5,18,33.9
104,合碍釜,2014-01-02,3.1,-1.2,6.6,,,,8.6,5.9,2,13,28.3
104,合碍釜,2014-01-03,5.1,.6,10.2,,,,8.1,5.8,2.1,17,35.6
104,合碍釜,2014-01-04,.3,-.5,2.5,,,5.5,6.5,4.3,1.6,53,83.5
104,合碍釜,2014-01-05,.3,-2.6,3.5,,,0,6,3.1,1.3,73,85.4
104,合碍釜,2014-01-06,.3,-3.5,5,,,,4,3.1,1.4,33,55.3
104,合碍釜,2014-01-07,4,-1.5,7.4,,,,4.5,2.5,1.4,31,48.4
104,合碍釜,2014-01-08,3.8,.4,7.1,,,,7.5,4.2,2,29,55.9
104,合碍釜,2014-01-09,-3.7,-8.1,1.1,,,,7.5,4.8,2.8,13,22.5
104,合碍釜,2014-01-10,-2.7,-9.4,3.2,,,,6.9,4.3,2.1,12,29.5
104,合碍釜,2014-01-11,.1,-5.9,4.7,,,,7.5,4.8,2.1,15,31.6
104,合碍釜,2014-01-12,0,-3.3,5.2,,,,10.3,6.4,2.5,26,44
104,合碍釜,2014-01-13,-3.7,-8.7,1.1,,,,5.9,3.3,1.8,12,31.4
104,合碍釜,2014-01-14,-3.3,-8.4,1.1,,,,5.7,3,1.6,20,36.6
104,合碍釜,2014-01-15,-1.6,-7.4,4.2,,,,6.2,3.8,1.6,20,32.8
104,合碍釜,2014-01-16,1.1,-4.2,6,,,,6.3,3.7,2.3,29,42.4
104,合碍釜,2014-01-17,.5,-3.5,4.1,,,,5.5,3.8,1.5,35,50.4
104,合碍釜,2014-01-18,-1,-4.9,2.9,,,,9.6,6.1,2.9,24,42.3
104,合碍釜,2014-01-19,-.5,-6.7,4.1,,,,6.9,4.5,2.3,17,37.4
104,合碍釜,2014-01-20,1.3,-1.3,4.8,,,.3,6.7,3.6,1.8,24,58
104,合碍釜,2014-01-21,-2.8,-5.8,.1,,,25.8,8.7,6,2.5,40,74.4
104,合碍釜,2014-01-22,-2.6,-7.8,4.9,,,0,5.9,3.9,2.3,24,59.4
104,合碍釜,2014-01-23,1.3,-4.9,7,,,,7.6,4.7,2.4,24,43.3
104,合碍釜,2014-01-24,5.3,1,9.1,,,,9.5,5.9,2.7,28,49
104,合碍釜,2014-01-25,3.9,1.1,7.2,,,8,6.5,4,1.9,61,82.6
104,合碍釜,2014-01-26,-.9,-4.7,2.1,,,5,8.5,5.1,2.2,59,78.1
104,合碍釜,2014-01-27,3.9,-4.8,9,,,,10.1,6.8,3.2,9,22.9
104,合碍釜,2014-01-28,3.8,-2.4,9.6,,,,9.5,5.2,1.9,12,50.3
104,合碍釜,2014-01-29,6.8,-3,12.1,,,,12.8,7.9,2.9,6,18.6
104,合碍釜,2014-01-30,8.3,2.1,11.8,,,,14.9,7.6,4.6,17,43.1
104,合碍釜,2014-01-31,2.9,-2.8,7.4,,,,8.7,5.8,1.8,12,29
104,合碍釜,2014-02-01,3.6,1.2,6.6,,,7,5.6,3.3,1.4,24,66
104,合碍釜,2014-02-02,6.5,1.6,15.6,,,0,6,3.2,1.2,40,79.1
104,合碍釜,2014-02-03,1.8,-3.8,7.2,,,,7.7,4.9,2.4,26,47
104,合碍釜,2014-02-04,-4.3,-8.6,-.1,,,,8.3,5.4,2.5,14,27.8
104,合碍釜,2014-02-05,-4.7,-9,-.5,,,,6,3,1.7,28,43.4
104,合碍釜,2014-02-06,-1.2,-5.7,1.6,,,1.2,6.5,3.9,2.4,31,61.6
104,合碍釜,2014-02-07,-.3,-1.8,1,,,21.6,6.9,4.2,2.1,74,87
104,合碍釜,2014-02-08,-1,-1.7,-.3,,,14.5,6.1,3.1,2.2,83,89
104,合碍釜,2014-02-09,-1.8,-2.9,0,,,43.9,6,3.6,2.1,80,89.8
104,合碍釜,2014-02-10,-3.2,-3.8,-1.7,,,44.2,4.2,2.2,1.2,82,89.9
104,合碍釜,2014-02-11,-2.2,-4.2,1.1,,,14.4,6,4,.9,62,82.9
104,合碍釜,2014-02-12,-1.6,-6.5,2.2,,,3.5,5.5,3.3,2,55,76.5
104,合碍釜,2014-02-13,-1.1,-1.5,-.2,,,40.1,3.9,2.4,1.5,86,89.9
104,合碍釜,2014-02-14,-.1,-2.5,2.9,,,1.4,5.1,3.2,1.4,70,84.6
104,合碍釜,2014-02-15,0,-5,4.1,,,,5,2.8,1.3,47,73.1
104,合碍釜,2014-02-16,2.6,-4.1,8.6,,,,3.6,2.8,1.2,31,54.4
104,合碍釜,2014-02-17,.7,-.9,3.1,,,16.5,5.1,3.2,1.6,44,79.3
104,合碍釜,2014-02-18,-1.6,-2.7,-.3,,,3.5,4.7,3.1,1.4,81,87
104,合碍釜,2014-02-19,.1,-2.8,3.6,,,0,5,3.2,1.2,53,75.4
104,合碍釜,2014-02-20,.4,-2.7,3,,,,5.8,2.7,1.5,66,79.6
104,合碍釜,2014-02-21,.5,-2.9,3.7,,,0,4.6,2.8,1.4,59,72.1
104,合碍釜,2014-02-22,.4,-3.7,3.4,,,,5.6,2.9,1.4,60,79.5
104,合碍釜,2014-02-23,1,-2.3,4.2,,,,3.9,2,1.1,70,81.5
104,合碍釜,2014-02-24,3.6,-1.5,8.4,,,,4.8,2.8,1.1,48,66.6
104,合碍釜,2014-02-25,6.2,2.1,11,,,,5.6,3.4,1.9,31,52.3
104,合碍釜,2014-02-26,4.3,.9,8.7,,,,3.5,1.9,1,51,74.5
104,合碍釜,2014-02-27,6.7,-.1,13.2,,,,5.7,3.7,1.5,34,64.3
104,合碍釜,2014-02-28,4,1.4,5.6,,,0,6.1,3.8,1,62,74.6
104,合碍釜,2014-03-01,3.3,1.6,4.6,,,.1,7,4,2,75,82.8
104,合碍釜,2014-03-02,.9,-.7,2.7,,,16.5,7,4.3,2.2,77,86
104,合碍釜,2014-03-03,3.3,-2.2,7.7,,,,7.3,5,1.9,29,65
104,合碍釜,2014-03-04,7.5,2.8,11.6,,,,7.1,4.7,1.9,22,30.5
104,合碍釜,2014-03-05,-.7,-4.6,6.6,,,14.8,7.9,4.7,2.6,25,77.9
104,合碍釜,2014-03-06,-.5,-7.1,5.4,,,,8.7,5.2,2.4,19,44.9
104,合碍釜,2014-03-07,.1,-4.5,3.7,,,,9.2,5.3,2.6,15,32
104,合碍釜,2014-03-08,1.9,-3.6,7.1,,,,7.7,5.1,1.7,22,38.4
104,合碍釜,2014-03-09,.9,-3,3.8,,,,9,5.8,2.6,26,41.8
104,合碍釜,2014-03-10,1,-4.3,4.5,,,,5.5,2.9,1.6,23,43.1
104,合碍釜,2014-03-11,7.6,-1.6,13.3,,,,11.5,7.9,3,15,27.1
104,合碍釜,2014-03-12,6.9,4.1,10.9,,,7,7.8,4.9,2.5,15,53.6
104,合碍釜,2014-03-13,2.2,.1,4.7,,,6,8.1,4.6,2.8,53,67.5
104,合碍釜,2014-03-14,3.1,-.5,6.5,,,,7.2,4.6,2.1,37,57.9
104,合碍釜,2014-03-15,8.6,.1,13.6,,,,12.2,7.7,3.7,20,34.5
104,合碍釜,2014-03-16,8.4,3.3,13.4,,,,10.7,6.5,2.3,30,56.4
104,合碍釜,2014-03-17,11.5,3.2,18.5,,,0,8,4.4,1.7,38,64.4
104,合碍釜,2014-03-18,11.2,5.1,17,,,0,11.6,6.9,2.7,32,58.3
104,合碍釜,2014-03-19,7,3.1,10.3,,,0,8.3,6,1.9,47,67
104,合碍釜,2014-03-20,4.2,2.2,5.9,,,7,8.1,5.1,3,70,81.9
104,合碍釜,2014-03-21,4.4,.3,8.4,,,,7.6,4.4,2.2,32,50.9
104,合碍釜,2014-03-22,9.2,3.2,14.8,,,,6.6,4.1,2.1,19,39.4
104,合碍釜,2014-03-23,14.3,6.7,20,,,,8.6,5.4,2.6,16,27.9
104,合碍釜,2014-03-24,14.3,7.4,18,,,,10.5,7.1,3.3,13,25.3
104,合碍釜,2014-03-25,17.4,13.1,22.5,,,,12.7,7.2,2.5,22,37.3
104,合碍釜,2014-03-26,14.4,9.3,19.4,,,,4.4,2.9,1.3,38,54.1
104,合碍釜,2014-03-27,13.5,6.2,19.3,,,,5.1,3.5,1.5,28,57.9
104,合碍釜,2014-03-28,20.1,14.1,26.5,,,,8,5.3,2.3,13,31.4
104,合碍釜,2014-03-29,14.5,7.9,20.3,,,0,8.7,6.7,2.7,27,52
104,合碍釜,2014-03-30,8.1,5.4,12.2,,,3.5,10.6,6.1,3.4,42,72.3
104,合碍釜,2014-03-31,11.6,4.8,16.4,,,,6.1,4.1,1.5,27,58
104,合碍釜,2014-04-01,13.4,8.5,18.1,,,,5.1,3.1,1.4,23,45.5
104,合碍釜,2014-04-02,16.8,8.6,22.7,,,,8.1,5.4,2.3,13,27.5
104,合碍釜,2014-04-03,7.5,2.3,15,1.5,7,23.5,11.2,8,2.5,27,84
104,合碍釜,2014-04-04,3.8,1.5,7.6,.5,.5,2,8.1,5,2.5,52,77.6
104,合碍釜,2014-04-05,3.9,-.1,10.1,1,4.5,6.5,6.9,4.6,2,35,73.6
104,合碍釜,2014-04-06,7.5,.7,12.1,,,,7.9,5.1,2.8,22,42.3
104,合碍釜,2014-04-07,16.3,7.6,22.2,,,,17.7,10.4,4.3,12,23.1
104,合碍釜,2014-04-08,13.5,8.8,17.3,,,,8.4,5.7,2,22,42.3
104,合碍釜,2014-04-09,18,10.3,22.9,,,,6.5,4.5,2.4,14,26.4
104,合碍釜,2014-04-10,10.4,5.3,19.3,,,,7.9,4.9,2.1,14,48.8
104,合碍釜,2014-04-11,9.6,4.4,13.9,,,,6.2,3.3,1.6,43,61.6
104,合碍釜,2014-04-12,10.9,8.4,13.9,0,0,0,5.1,3,1.4,63,79.5
104,合碍釜,2014-04-13,11.4,8.4,15.4,,,,6.4,3.6,1.5,63,83.6
104,合碍釜,2014-04-14,14.4,6.1,20.2,,,,7.6,4,1.7,30,62.4
104,合碍釜,2014-04-15,20.9,14.5,26.5,,,,11.5,7.2,3.1,23,33.3
104,合碍釜,2014-04-16,14.2,9.5,16.9,,,,8,4.4,2.2,47,61.3
104,合碍釜,2014-04-17,12,9.2,16.2,.5,1,1.5,7.6,4.3,2.2,51,68.8
104,合碍釜,2014-04-18,10.2,8.7,13.2,.1,.1,.1,6.4,3.6,1.9,63,73.1
104,合碍釜,2014-04-19,9.5,6.1,13.1,,,,7.1,4.8,1.9,53,68.6
104,合碍釜,2014-04-20,11.1,5.3,16.1,,,,8.2,6,2,34,66.5
104,合碍釜,2014-04-21,14.7,9.3,20.1,,,,7.6,4.8,1.9,23,42.1
104,合碍釜,2014-04-22,15.5,9,20.5,,,,6.7,3.7,1.8,20,30.9
104,合碍釜,2014-04-23,17.7,11.2,23.4,,,,5.8,4,2.1,14,27.9
104,合碍釜,2014-04-24,18.7,12.9,24,,,,7.9,5.2,2.2,17,30.8
104,合碍釜,2014-04-25,19.7,13.5,25.2,,,,7,4.4,2.3,13,25
104,合碍釜,2014-04-26,20.7,15.6,26.6,,,,5.7,3.6,2,19,31.6
104,合碍釜,2014-04-27,17.1,14.1,20.7,.5,.5,.5,7.2,4.9,1.6,27,55.4
104,合碍釜,2014-04-28,12.5,11.7,14,3.5,7.5,30,8.1,5.1,1.7,74,88.5
104,合碍釜,2014-04-29,11.8,10.6,12.5,2.5,11.5,106.5,8.5,4.5,3,89,89.9
104,合碍釜,2014-04-30,11.1,8.5,13.8,1.5,1.5,4.5,8.2,4.9,2.6,51,75
104,合碍釜,2014-05-01,17.5,7.7,24.2,,,,7,4,1.5,32,55.6
104,合碍釜,2014-05-02,20.7,14.5,26.9,,,,16.2,7.4,3.7,15,36.4
104,合碍釜,2014-05-03,16.3,13,22.2,,,,18.6,11.2,4.2,11,30.8
104,合碍釜,2014-05-04,15.9,9.6,22.7,0,0,0,11.4,6.5,2.7,15,32.3
104,合碍釜,2014-05-05,12.4,8.9,16.7,,,,17.6,10.7,5.6,17,29.6
104,合碍釜,2014-05-06,14.9,5.3,21.3,,,,9.8,6.2,3.1,14,27.6
104,合碍釜,2014-05-07,17.6,9.5,25.8,,,,9.8,6,2.6,11,29.3
104,合碍釜,2014-05-08,14.2,11,19.6,3,4.1,4.5,10.3,6.8,2.3,34,68.1
104,合碍釜,2014-05-09,13.7,8.6,18.4,,,,7.4,4,1.7,22,49.5
104,合碍釜,2014-05-10,14.7,8.7,20.9,,,,5.3,3.3,1.5,35,52.5
104,合碍釜,2014-05-11,15.2,8.6,21.4,.5,2,3,11,7.3,2.2,31,60.4
104,合碍釜,2014-05-12,19.1,14.5,22,.5,1,1,17,7.7,3.6,34,51.3
104,合碍釜,2014-05-13,23.7,14.4,29.2,,,,18.7,9.7,4.9,13,30.4
104,合碍釜,2014-05-14,22.3,18.5,29.4,,,,9.2,5.9,2.6,17,37.6
104,合碍釜,2014-05-15,19.9,16,25.5,0,0,0,12.7,7.5,3.4,14,37.5
104,合碍釜,2014-05-16,18.9,12.7,25.7,,,,12,7.3,3.2,15,34.1
104,合碍釜,2014-05-17,15.8,10.7,20.5,,,,5.4,3,1.5,49,66
104,合碍釜,2014-05-18,15.7,12.3,19.3,,,,5.7,2.8,1.6,62,77.1
104,合碍釜,2014-05-19,16.9,12.1,22.1,,,,5.5,3.5,1.5,47,72
104,合碍釜,2014-05-20,18.4,15.1,22,,,,5,3.1,1.2,41,62.9
104,合碍釜,2014-05-21,14.9,12.7,19.6,,,,5.9,3.5,1.6,48,80.4
104,合碍釜,2014-05-22,15.1,13.1,19.8,.1,.3,.5,6.3,3.9,1.7,64,81.1
104,合碍釜,2014-05-23,15.1,13.1,19.4,.1,.1,.1,6.5,3.4,1.1,68,83.6
104,合碍釜,2014-05-24,24.2,14.1,31.5,,,,7.8,3.9,1.2,29,56.4
